Jour;Journal;N° Pièce;Compte;Libellé;Description;Débit;Crédit
2026-06-01;VT J.C;331;411004;CLIENTS PASSAGERS ESPECES;FAC N°331 ;0;3253.292
2026-06-01;VT J.C;331;411005;CLIENTS PASSAGERS TPE;FAC N°331 ;0;1301.317
2026-06-01;VT J.C;331;707200;VENTES MARCHANDISES J.C 0%;FAC N°331 ;3127.906;0
2026-06-01;VT J.C;331;707219;VENTES MARCHANDISES J.C 19%;FAC N°331 ;659.924;0
2026-06-01;VT J.C;331;436711;TVA COLLECTEE 19% J.C;FAC N°331 ;0;125.386
2026-06-01;VT J.C;331;437500;TIMBRE FISCAL;FAC N°331 ;0;1
2026-06-01;VT J.C;331;634500;ECARTS DE REGLEMENT;FAC N°331 ;659.928;0
2026-06-02;VT J.C;333;411004;CLIENTS PASSAGERS ESPECES;FAC N°333 ;0;176.428
2026-06-02;VT J.C;333;411005;CLIENTS PASSAGERS TPE;FAC N°333 ;0;70.571
2026-06-02;VT J.C;333;707200;VENTES MARCHANDISES J.C 0%;FAC N°333 ;171;0
2026-06-02;VT J.C;333;707219;VENTES MARCHANDISES J.C 19%;FAC N°333 ;28.571;0
2026-06-02;VT J.C;333;436711;TVA COLLECTEE 19% J.C;FAC N°333 ;0;5.428
2026-06-02;VT J.C;333;437500;TIMBRE FISCAL;FAC N°333 ;0;1
2026-06-02;VT J.C;333;634500;ECARTS DE REGLEMENT;FAC N°333 ;28.572;0
2026-06-02;VT J.C;334;411004;CLIENTS PASSAGERS ESPECES;FAC N°334 ;0;3411.37
2026-06-02;VT J.C;334;411005;CLIENTS PASSAGERS TPE;FAC N°334 ;0;1364.548
2026-06-02;VT J.C;334;707200;VENTES MARCHANDISES J.C 0%;FAC N°334 ;3257.868;0
2026-06-02;VT J.C;334;707219;VENTES MARCHANDISES J.C 19%;FAC N°334 ;807.903;0
2026-06-02;VT J.C;334;436711;TVA COLLECTEE 19% J.C;FAC N°334 ;0;153.502
2026-06-02;VT J.C;334;437500;TIMBRE FISCAL;FAC N°334 ;0;1
2026-06-02;VT J.C;334;634500;ECARTS DE REGLEMENT;FAC N°334 ;807.9;0
2026-06-03;VT J.C;336;411004;CLIENTS PASSAGERS ESPECES;FAC N°336 ;0;2524.063
2026-06-03;VT J.C;336;411005;CLIENTS PASSAGERS TPE;FAC N°336 ;0;1009.625
2026-06-03;VT J.C;336;707200;VENTES MARCHANDISES J.C 0%;FAC N°336 ;2391.302;0
2026-06-03;VT J.C;336;707219;VENTES MARCHANDISES J.C 19%;FAC N°336 ;698.74;0
2026-06-03;VT J.C;336;436711;TVA COLLECTEE 19% J.C;FAC N°336 ;0;132.761
2026-06-03;VT J.C;336;437500;TIMBRE FISCAL;FAC N°336 ;0;1
2026-06-03;VT J.C;336;634500;ECARTS DE REGLEMENT;FAC N°336 ;698.737;0
2026-06-04;VT J.C;338;411004;CLIENTS PASSAGERS ESPECES;FAC N°338 ;0;3126.11
2026-06-04;VT J.C;338;411005;CLIENTS PASSAGERS TPE;FAC N°338 ;0;1250.444
2026-06-04;VT J.C;338;707200;VENTES MARCHANDISES J.C 0%;FAC N°338 ;2895.188;0
2026-06-04;VT J.C;338;707219;VENTES MARCHANDISES J.C 19%;FAC N°338 ;1215.378;0
2026-06-04;VT J.C;338;436711;TVA COLLECTEE 19% J.C;FAC N°338 ;0;230.922
2026-06-04;VT J.C;338;437500;TIMBRE FISCAL;FAC N°338 ;0;1
2026-06-04;VT J.C;338;634500;ECARTS DE REGLEMENT;FAC N°338 ;1215.38;0
2026-06-05;VT J.C;340;411004;CLIENTS PASSAGERS ESPECES;FAC N°340 ;0;3720.375
2026-06-05;VT J.C;340;411005;CLIENTS PASSAGERS TPE;FAC N°340 ;0;1488.15
2026-06-05;VT J.C;340;707200;VENTES MARCHANDISES J.C 0%;FAC N°340 ;3524.578;0
2026-06-05;VT J.C;340;707219;VENTES MARCHANDISES J.C 19%;FAC N°340 ;1030.509;0
2026-06-05;VT J.C;340;436711;TVA COLLECTEE 19% J.C;FAC N°340 ;0;195.797
2026-06-05;VT J.C;340;437500;TIMBRE FISCAL;FAC N°340 ;0;1
2026-06-05;VT J.C;340;634500;ECARTS DE REGLEMENT;FAC N°340 ;1030.505;0
2026-06-06;VT J.C;342;411004;CLIENTS PASSAGERS ESPECES;FAC N°342 ;0;3832.996
2026-06-06;VT J.C;342;411005;CLIENTS PASSAGERS TPE;FAC N°342 ;0;1533.198
2026-06-06;VT J.C;342;707200;VENTES MARCHANDISES J.C 0%;FAC N°342 ;3708.984;0
2026-06-06;VT J.C;342;707219;VENTES MARCHANDISES J.C 19%;FAC N°342 ;652.697;0
2026-06-06;VT J.C;342;436711;TVA COLLECTEE 19% J.C;FAC N°342 ;0;124.012
2026-06-06;VT J.C;342;437500;TIMBRE FISCAL;FAC N°342 ;0;1
2026-06-06;VT J.C;342;634500;ECARTS DE REGLEMENT;FAC N°342 ;652.694;0
2026-06-07;VT J.C;344;411004;CLIENTS PASSAGERS ESPECES;FAC N°344 ;0;3140.583
2026-06-07;VT J.C;344;411005;CLIENTS PASSAGERS TPE;FAC N°344 ;0;1256.233
2026-06-07;VT J.C;344;707200;VENTES MARCHANDISES J.C 0%;FAC N°344 ;2898.148;0
2026-06-07;VT J.C;344;707219;VENTES MARCHANDISES J.C 19%;FAC N°344 ;1275.973;0
2026-06-07;VT J.C;344;436711;TVA COLLECTEE 19% J.C;FAC N°344 ;0;242.435
2026-06-07;VT J.C;344;437500;TIMBRE FISCAL;FAC N°344 ;0;1
2026-06-07;VT J.C;344;634500;ECARTS DE REGLEMENT;FAC N°344 ;1275.977;0
2026-06-08;VT J.C;347;411004;CLIENTS PASSAGERS ESPECES;FAC N°347 ;0;2970.1369999999997
2026-06-08;VT J.C;347;411005;CLIENTS PASSAGERS TPE;FAC N°347 ;0;1188.055
2026-06-08;VT J.C;347;707200;VENTES MARCHANDISES J.C 0%;FAC N°347 ;2879.048;0
2026-06-08;VT J.C;347;707219;VENTES MARCHANDISES J.C 19%;FAC N°347 ;479.414;0
2026-06-08;VT J.C;347;436711;TVA COLLECTEE 19% J.C;FAC N°347 ;0;91.089
2026-06-08;VT J.C;347;437500;TIMBRE FISCAL;FAC N°347 ;0;1
2026-06-08;VT J.C;347;634500;ECARTS DE REGLEMENT;FAC N°347 ;479.413;0
2026-06-09;VT J.C;349;411004;CLIENTS PASSAGERS ESPECES;FAC N°349 ;0;2770.036
2026-06-09;VT J.C;349;411005;CLIENTS PASSAGERS TPE;FAC N°349 ;0;1108.014
2026-06-09;VT J.C;349;707200;VENTES MARCHANDISES J.C 0%;FAC N°349 ;2646.136;0
2026-06-09;VT J.C;349;707219;VENTES MARCHANDISES J.C 19%;FAC N°349 ;652.104;0
2026-06-09;VT J.C;349;436711;TVA COLLECTEE 19% J.C;FAC N°349 ;0;123.9
2026-06-09;VT J.C;349;437500;TIMBRE FISCAL;FAC N°349 ;0;1
2026-06-09;VT J.C;349;634500;ECARTS DE REGLEMENT;FAC N°349 ;652.104;0
2026-06-10;VT J.C;351;411004;CLIENTS PASSAGERS ESPECES;FAC N°351 ;0;3660.4629999999997
